seconds,alt,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
17.3643,91.2641,-0.00478565,9.71725,0.232104,-0.0292893,-0.0198161,-0.00258873
17.4248,91.0844,0.0741775,9.71008,0.323031,-0.0182938,-0.0137075,-0.00381048
17.4824,91.2641,0.11007,9.71008,0.361316,0.00980601,0.0150032,-0.0050322
17.543,91.1796,0.107677,9.72683,0.200997,0.0348515,0.03394,-0.0135843
17.6016,91.2007,-0.0119641,9.73879,0.00957129,0.0470688,0.0363835,-0.0117517
17.7236,91.2219,-0.0382852,9.74357,-0.12682,0.0275211,0.0235553,-0.0050322
17.7832,91.2536,0.0167498,9.74597,-0.22014,0.00614083,0.00278592,-0.00686479
17.9121,91.0527,-0.0358923,9.73161,0.00957129,-0.0408958,-0.0240922,0.00107646
17.9727,91.243,0.0693919,9.72683,0.0957129,-0.0421175,-0.0259247,0.00168732
18.0313,91.1902,0.0526421,9.74118,0.224925,-0.035398,-0.00882053,0.000465602
18.0908,91.1267,0.0191426,9.72204,0.282353,-0.0134069,0.000953317,-0.00381048
18.1504,90.8625,0.0574278,9.7364,0.277568,0.00614083,0.0101163,-0.00442134
18.208,90.9048,0.0789632,9.72683,0.284746,0.028132,0.0168358,-0.0123626
18.2676,91.0316,0.00478565,9.72922,0.0957129,0.0427927,0.0418813,-0.0117517
18.4883,91.317,0.0334995,9.7364,-0.160319,-0.00485472,0.00339675,0.00229819
18.5488,91.4332,-0.0167498,9.76032,-0.167498,-0.0207372,-0.00943142,-0.00197788
18.6084,91.1902,0.0334995,9.75076,-0.0526421,-0.0335654,-0.0192052,0.00901771
18.668,91.2536,0.100499,9.71247,0.124427,-0.0323437,-0.0277573,-0.000145286
18.7275,91.2747,0.114856,9.71725,0.208176,-0.0250133,-0.00759882,-0.00930825
18.7871,91.0105,0.0574278,9.72922,0.217747,-0.00485472,0.00706196,-0.0141952
18.917,91.1162,0.0167498,9.73879,0.184247,0.0366841,0.0272205,-0.0123626
18.9766,91.243,-0.0622134,9.75793,-0.066999,0.0385167,0.029664,-0.0135843
19.0723,91.1584,-0.0789632,9.73879,-0.16989,0.0250777,0.0125598,-0.00686479
19.1318,91.317,-0.0239282,9.75315,-0.145962,0.00797343,-0.00393361,-0.00381048
19.1914,91.1056,-0.00717847,9.76032,-0.0981058,-0.0109634,-0.00759882,-0.000145286
19.251,91.1796,-0.0574278,9.74357,-0.0382852,-0.0225698,-0.0192052,0.00474165
19.3105,90.9048,0.0215354,9.71247,0.066999,-0.021959,-0.0283682,0.00596337
19.5352,91.317,0.0311067,9.72683,0.174676,0.0177473,0.0186684,-0.00930825
19.5947,91.3381,0.040678,9.74118,0.143569,0.0311863,0.0272205,-0.0172495
19.6533,91.2324,-0.0143569,9.734,0.00957129,0.0317971,0.0314965,-0.0160278
19.7129,91.1796,-0.0646062,9.71965,-0.0837488,0.032408,0.0186684,-0.0160278
19.7725,90.9365,-0.0622134,9.734,-0.129212,0.0140821,0.00645107,-0.0050322
19.832,90.9999,-0.00478565,9.74836,-0.124427,-0.00913081,0.00400764,0.00596337
19.8916,91.0422,-0.0143569,9.75554,-0.0693919,-0.0182938,-0.00515538,0.00290905
20.0176,91.1479,0.0861416,9.73879,0.0717847,-0.021959,-0.0216487,0.00351991
20.0781,91.169,0.102891,9.72443,0.155533,-0.0176829,-0.00271183,0.000465602
20.1367,91.3064,0.0574278,9.7029,0.229711,0.00186478,0.00767279,-0.00747564
20.1963,91.2853,0.0478565,9.71247,0.16989,0.0171364,0.0119489,-0.0123626
20.2559,90.9893,0.0334995,9.7364,0.0717847,0.0293537,0.0253879,-0.0154169
20.3535,91.169,-0.0334995,9.74836,-0.0478565,0.0250777,0.0266097,-0.0123626
20.4121,91.391,-0.0574278,9.75554,-0.066999,0.0171364,0.0101163,-0.0111408
20.6211,91.317,-0.0287139,9.7364,0.0215354,-0.0237916,-0.0124857,0.00351991
20.6816,91.317,-0.00239282,9.72922,0.100499,-0.021959,-0.0167618,0.00107646
20.7393,91.2958,0.0741775,9.72443,0.179462,-0.00974166,-0.0143183,-0.001367
20.8076,91.1902,0.0861416,9.734,0.167498,-0.000578672,0.00706196,-0.00808653
20.8662,91.2007,0.0478565,9.74597,0.148355,0.00919515,0.0186684,-0.00991912
20.9258,91.2324,0.0454636,9.734,0.0933201,0.0214125,0.0217227,-0.00930825
21.0527,91.1056,-0.0143569,9.734,-0.040678,0.0256885,0.0162249,-0.00991912
21.1133,91.1902,-0.0287139,9.75315,-0.0957129,0.0146929,0.00645107,-0.00442134
21.1729,91.1902,-0.0191426,9.74357,-0.066999,0.00308652,-0.00576621,-0.0050322
21.2324,91.1267,0.0,9.734,-0.0526421,-0.0121851,-0.0063771,0.00107646
21.292,91.2641,0.00957129,9.72922,0.0143569,-0.0140177,-0.0143183,0.000465602
21.3516,91.2324,0.0167498,9.72443,0.117248,-0.0176829,-0.0100423,0.00351991
21.4111,90.9999,0.114856,9.71247,0.193819,-0.0072982,-0.00882053,-0.00197788
21.6299,90.9048,0.0311067,9.72443,0.102891,0.0269102,0.0168358,-0.0129734
21.7803,91.1902,0.0430708,9.74357,-0.303889,-0.0109634,-0.00454444,-0.0135843
21.8408,91.0527,0.0358923,9.75076,-0.066999,-0.0421175,-0.0063771,-0.0154169
21.8994,91.1902,-0.0478565,9.74118,0.363709,-0.0347871,-0.00698799,-0.0117517
21.959,90.8625,0.0167498,9.75554,0.303889,-0.00851992,-0.0234813,-0.0135843
22.0186,91.095,0.00478565,9.75315,-0.0239282,-0.00424387,-0.0192052,-0.0160278
22.0781,91.1162,0.471386,9.78664,-0.177069,-0.0170721,-0.00515538,-0.0325211
22.207,91.169,-0.189033,9.69811,0.11007,-0.00790906,0.0143924,-0.0178604
22.2676,91.1162,0.256032,9.77947,-0.471386,-0.0286785,-0.0931199,-0.0343537
22.3262,90.8625,0.641276,9.63351,0.275175,-0.0683847,-0.0265356,0.0249002
22.3857,90.9999,0.0167498,9.70768,1.04566,-0.0482261,0.158556,-0.0221364
22.4453,90.9259,-0.184247,9.74118,-0.437887,0.0287428,-0.0149292,-0.00564307
22.5029,91.095,0.428315,9.71008,0.16989,-0.0109634,-0.176198,0.00901771
22.5625,91.0316,-0.040678,9.71725,0.535992,-0.0323437,-0.0210379,-0.0276342
22.7754,91.243,0.224925,9.72683,-0.562313,-0.0634978,-0.113278,-0.0154169
22.8359,91.5601,-0.552742,9.61915,0.363709,-0.00851992,-0.13588,-0.0203038
22.8955,91.2113,0.267996,9.72443,0.409173,-0.0213481,-0.00576621,-0.0123626
22.9551,91.2747,0.449851,9.62872,-0.196212,-0.0072982,-0.462082,0.00168732
23.0889,91.243,-0.145962,9.60001,0.318246,-0.00790906,0.555619,0.0310088
